[2024-09-27 22:35:42] | INFO      | __init__:21 | 0x6ee..df2ca запуск бота..
[2024-09-27 22:43:02] | INFO      | start_farming:32 | 0x216..729b4 запуск..
[2024-09-27 22:43:02] | INFO      | create_task:16 | 0x216..729b4 создаем задачу для решения капчи..
[2024-09-27 22:43:02] | ERROR     |  | 0x216..729b4 ошибка создания задачи: ERROR_WRONG_GOOGLEKEY
[2024-09-27 22:43:07] | ERROR     |  | 0x216..729b4 ошибка решения капчи: ERROR_WRONG_CAPTCHA_ID
[2024-09-27 22:43:07] | INFO      | create_task:16 | 0x216..729b4 создаем задачу для решения капчи..
[2024-09-27 22:43:08] | ERROR     |  | 0x216..729b4 ошибка создания задачи: ERROR_WRONG_GOOGLEKEY
[2024-09-27 22:43:13] | ERROR     |  | 0x216..729b4 ошибка решения капчи: ERROR_WRONG_CAPTCHA_ID
[2024-09-27 22:43:13] | INFO      | create_task:16 | 0x216..729b4 создаем задачу для решения капчи..
[2024-09-27 22:43:13] | ERROR     |  | 0x216..729b4 ошибка создания задачи: ERROR_WRONG_GOOGLEKEY
[2024-09-27 22:43:18] | ERROR     |  | 0x216..729b4 ошибка решения капчи: ERROR_WRONG_CAPTCHA_ID
[2024-09-27 22:43:18] | INFO      | create_task:16 | 0x216..729b4 создаем задачу для решения капчи..
[2024-09-27 22:43:18] | ERROR     |  | 0x216..729b4 ошибка создания задачи: ERROR_WRONG_GOOGLEKEY
[2024-09-27 22:43:23] | ERROR     |  | 0x216..729b4 ошибка решения капчи: ERROR_WRONG_CAPTCHA_ID
[2024-09-27 22:43:23] | INFO      | create_task:16 | 0x216..729b4 создаем задачу для решения капчи..
[2024-09-27 22:43:23] | ERROR     |  | 0x216..729b4 ошибка создания задачи: ERROR_WRONG_GOOGLEKEY
[2024-09-27 22:43:28] | ERROR     |  | 0x216..729b4 ошибка решения капчи: ERROR_WRONG_CAPTCHA_ID
[2024-09-27 22:43:28] | INFO      | create_task:16 | 0x216..729b4 создаем задачу для решения капчи..
[2024-09-27 22:43:28] | ERROR     |  | 0x216..729b4 ошибка создания задачи: ERROR_WRONG_GOOGLEKEY
[2024-09-27 22:43:33] | ERROR     |  | 0x216..729b4 ошибка решения капчи: ERROR_WRONG_CAPTCHA_ID
[2024-09-27 22:43:33] | INFO      | create_task:16 | 0x216..729b4 создаем задачу для решения капчи..
[2024-09-27 22:43:33] | ERROR     |  | 0x216..729b4 ошибка создания задачи: ERROR_WRONG_GOOGLEKEY
[2024-09-27 22:43:38] | ERROR     |  | 0x216..729b4 ошибка решения капчи: ERROR_WRONG_CAPTCHA_ID
[2024-09-27 22:43:38] | INFO      | create_task:16 | 0x216..729b4 создаем задачу для решения капчи..
[2024-09-27 22:43:39] | ERROR     |  | 0x216..729b4 ошибка создания задачи: ERROR_WRONG_GOOGLEKEY
[2024-09-27 22:43:44] | ERROR     |  | 0x216..729b4 ошибка решения капчи: ERROR_WRONG_CAPTCHA_ID
[2024-09-27 22:43:44] | INFO      | create_task:16 | 0x216..729b4 создаем задачу для решения капчи..
[2024-09-27 22:43:44] | ERROR     |  | 0x216..729b4 ошибка создания задачи: ERROR_WRONG_GOOGLEKEY
[2024-09-27 22:43:49] | ERROR     |  | 0x216..729b4 ошибка решения капчи: ERROR_WRONG_CAPTCHA_ID
[2024-09-27 22:43:49] | INFO      | create_task:16 | 0x216..729b4 создаем задачу для решения капчи..
[2024-09-27 22:43:49] | ERROR     |  | 0x216..729b4 ошибка создания задачи: ERROR_WRONG_GOOGLEKEY
[2024-09-27 22:43:54] | ERROR     |  | 0x216..729b4 ошибка решения капчи: ERROR_WRONG_CAPTCHA_ID
[2024-09-27 22:43:54] | INFO      | create_task:16 | 0x216..729b4 создаем задачу для решения капчи..
[2024-09-27 22:43:54] | ERROR     |  | 0x216..729b4 ошибка создания задачи: ERROR_WRONG_GOOGLEKEY
[2024-09-27 22:43:59] | ERROR     |  | 0x216..729b4 ошибка решения капчи: ERROR_WRONG_CAPTCHA_ID
[2024-09-27 22:43:59] | INFO      | create_task:16 | 0x216..729b4 создаем задачу для решения капчи..
[2024-09-27 22:43:59] | ERROR     |  | 0x216..729b4 ошибка создания задачи: ERROR_WRONG_GOOGLEKEY
[2024-09-27 22:44:04] | ERROR     |  | 0x216..729b4 ошибка решения капчи: ERROR_WRONG_CAPTCHA_ID
[2024-09-27 22:44:04] | INFO      | create_task:16 | 0x216..729b4 создаем задачу для решения капчи..
[2024-09-27 22:44:04] | ERROR     |  | 0x216..729b4 ошибка создания задачи: ERROR_WRONG_GOOGLEKEY
[2024-09-27 22:44:09] | ERROR     |  | 0x216..729b4 ошибка решения капчи: ERROR_WRONG_CAPTCHA_ID
[2024-09-27 22:44:09] | INFO      | create_task:16 | 0x216..729b4 создаем задачу для решения капчи..
[2024-09-27 22:44:09] | ERROR     |  | 0x216..729b4 ошибка создания задачи: ERROR_WRONG_GOOGLEKEY
[2024-09-27 22:44:14] | ERROR     |  | 0x216..729b4 ошибка решения капчи: ERROR_WRONG_CAPTCHA_ID
[2024-09-27 22:44:14] | INFO      | create_task:16 | 0x216..729b4 создаем задачу для решения капчи..
[2024-09-27 22:44:14] | ERROR     |  | 0x216..729b4 ошибка создания задачи: ERROR_WRONG_GOOGLEKEY
[2024-09-27 22:44:20] | ERROR     |  | 0x216..729b4 ошибка решения капчи: ERROR_WRONG_CAPTCHA_ID
[2024-09-27 22:44:20] | INFO      | create_task:16 | 0x216..729b4 создаем задачу для решения капчи..
[2024-09-27 22:44:20] | ERROR     |  | 0x216..729b4 ошибка создания задачи: ERROR_WRONG_GOOGLEKEY
[2024-09-27 22:44:25] | ERROR     |  | 0x216..729b4 ошибка решения капчи: ERROR_WRONG_CAPTCHA_ID
[2024-09-27 22:44:25] | INFO      | create_task:16 | 0x216..729b4 создаем задачу для решения капчи..
[2024-09-27 22:44:25] | ERROR     |  | 0x216..729b4 ошибка создания задачи: ERROR_WRONG_GOOGLEKEY
[2024-09-27 22:44:30] | ERROR     |  | 0x216..729b4 ошибка решения капчи: ERROR_WRONG_CAPTCHA_ID
[2024-09-27 22:44:30] | INFO      | create_task:16 | 0x216..729b4 создаем задачу для решения капчи..
[2024-09-27 22:44:30] | ERROR     |  | 0x216..729b4 ошибка создания задачи: ERROR_WRONG_GOOGLEKEY
[2024-09-27 22:44:35] | ERROR     |  | 0x216..729b4 ошибка решения капчи: ERROR_WRONG_CAPTCHA_ID
[2024-09-27 22:44:35] | INFO      | create_task:16 | 0x216..729b4 создаем задачу для решения капчи..
[2024-09-27 22:44:35] | ERROR     |  | 0x216..729b4 ошибка создания задачи: ERROR_WRONG_GOOGLEKEY
[2024-09-27 22:44:40] | ERROR     |  | 0x216..729b4 ошибка решения капчи: ERROR_WRONG_CAPTCHA_ID
[2024-09-27 22:44:40] | INFO      | create_task:16 | 0x216..729b4 создаем задачу для решения капчи..
[2024-09-27 22:44:40] | ERROR     |  | 0x216..729b4 ошибка создания задачи: ERROR_WRONG_GOOGLEKEY
